grado,asignatura,facultad
grado-farmacia-nutricion-humana-dietetica,Guía docente de Anatomía e Histología Humanas (2251111),Facultad-de-Farmacia
grado-nutricion-humana-dietetica,Guía docente de Alimentación y Cultura (2021115),Facultad-de-Farmacia
grado-educacion-primaria-estudios-ingleses,Guía docente de Bases Matemáticas de la Educación Primaria (2551115),Facultad-de-Ciencias-de-la-EducaciónFacultad-de-Filosofía-y-Letras
grado-pedagogia,Guía docente de Antropología de la Educación (2981115),Facultad-de-Ciencias-de-la-Educación
grado-fisica,Guía docente de Álgebra Lineal y Geometría I (267111A),Facultad-de-Ciencias
grado-estadistica,Guía docente de Cálculo de Probabilidades I (2231112),Facultad-de-Ciencias
grado-filosofia,Guía docente de Antropología Cultural (2631114),Facultad-de-Filosofía-y-Letras
grado-enfermeria-ceuta,Guía docente de Anatomía Humana (4071111),Facultad-de-Ciencias-de-la-Salud-de-Ceuta
grado-criminologia,Guía docente de Derecho Constitucional (2451112),Facultad-de-Derecho
grado-fisioterapia,Guía docente de Anatomía del Aparato Locomotor (2411111),Facultad-de-Ciencias-de-la-Salud
grado-ciencias-politicas-administ-derecho,Guía docente de Derecho Romano (2131114),Facultad-de-Ciencias-Políticas-y-SociologíaFacultad-de-Derecho
grado-edificacion,"Guía docente de Construcción I: Historia, Tipologías y Fundamentos de la Edificación (2301115)",E-T-S--de-Ingeniería-de-Edificación
grado-ingenieria-civil-administracion-dreccion-empresas,Guía docente de Cálculo (2481113),E-T-S--de-Ingeniería-de-Caminos--Canales-y-PuertosFacultad-de-Ciencias-Económicas-y-Empresariales
grado-biotecnologia,Guía docente de Análisis Matemático (2511112),Facultad-de-Ciencias
grado-arqueologia,Guía docente de Antropología Cultural (2661115),Facultad-de-Filosofía-y-Letras
grado-fisioterapia,Guía docente de Bioquímica (2411114),Facultad-de-Ciencias-de-la-Salud
grado-matematicas,Guía docente de Álgebra I (2701113),Facultad-de-Ciencias
grado-fisica,Guía docente de Análisis Matemático I (2671115),Facultad-de-Ciencias
grado-edprima-cc-act-fisica-melilla,Guía docente de Bases Matemáticas de la Educación Primaria (5881113),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-fisioterapia-melilla,Guía docente de Bioquímica (5411114),Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-nutricion-humana-dietetica,Guía docente de Biología (2021111),Facultad-de-Farmacia
grado-ingenieria-civil-plan-2023,Guía docente de Álgebra Lineal y Geometría (2461112),E-T-S---de-Ingeniería-de-Caminos--Canales-y-Puertos
grado-optica-optometria,Guía docente de Biología (2871116),Facultad-de-Ciencias
